Gene Profile Size	Taxon Profile Size	Semantic similarity
50	2	0.206974447
50	2	0.071116756
50	2	0.151555772
50	50	0.841900659
50	2	0.126535431
50	37	0.591783767
50	2	0.206974447
50	877	0.781585806
50	157	0.615915429
50	28	0.421099252
50	15	0.333026287
50	14	0.486348467
50	16	0.421099252
50	17	0.502343524
50	8	0.173331603
50	17	0.459715892
50	11	0.226884106
50	25	0.654671473
50	376	0.486348467
50	31	0.304454333
50	223	0.701858158
50	56	0.422619479
50	23	0.430269047
50	32	0.389831716
50	10	0.421099252
50	2	0.13473435
50	57	0.663654746
50	2	0.173331603
50	12	0.547954185
50	16	0.602076522
50	103	0.654671473
50	39	0.502343524
50	102	0.459715892
4	11	0.020627381
4	18	0.006821266
4	7	0.051479181
4	43	0.064073966
4	191	0.093714435
4	4	0.006821266
4	2	0.006821266
4	11	0.020627381
4	2	0.382994248
4	47	0.034433497
4	6	0.006821266
4	4	0.006821266
4	275	0.065285297
4	15	0.051479181
4	8	0.006821266
4	2	0.382994248
4	18	0.051479181
4	6	0.096137097
4	26	0.096137097
4	92	0.094925766
4	13	0.096137097
4	246	0.096137097
4	332	0.094925766
4	8	0.034433497
4	2	0.006821266
4	614	0.094925766
4	2829	0.096137097
4	9	0.020627381
4	135	0.064073966
4	631	0.094925766
4	228	0.094925766
4	70	0.034433497
4	23	0.034433497
4	29	0.034433497
4	22	0.034433497
4	25	0.065285297
4	34	0.034433497
4	24	0.034433497
4	84	0.093714435
4	283	0.064073966
4	68	0.093714435
4	42	0.065285297
4	102	0.094925766
4	10	0.064073966
4	11	0.051479181
4	96	0.096137097
4	8	0.034433497
4	98	0.094925766
4	15	0.020627381
4	1239	0.398997628
4	27	0.034433497
4	16	0.065285297
4	2	0.006821266
4	21	0.020627381
4	19	0.096137097
4	34	0.020627381
4	198	0.094925766
4	30	0.020627381
4	8	0.051479181
4	25	0.093714435
4	7	0.093714435
4	45	0.064073966
4	361	0.094925766
4	141	0.093714435
4	487	0.094925766
4	73	0.093714435
4	72	0.034433497
4	19	0.065285297
4	206	0.096137097
4	2	0.006821266
4	11	0.034433497
4	21	0.034433497
4	50	0.065285297
4	63	0.064073966
4	4	0.034433497
4	6	0.017216749
4	6	0.020627381
4	19	0.05026785
4	105	0.064073966
4	178	0.093714435
4	79	0.096137097
4	12	0.034433497
4	23	0.051479181
4	50	0.096137097
4	66	0.020627381
4	39	0.065285297
4	4	0.048068549
4	110	0.094925766
4	23	0.051479181
4	5	0.051479181
4	22	0.051479181
4	65	0.034433497
4	21	0.020627381
4	300	0.093714435
4	33	0.094925766
4	14	0.020627381
4	32	0.398997628
4	128	0.034433497
4	6	0.006821266
4	102	0.034433497
50	157	0.486348467
50	22	0.304454333
50	2	0.13473435
50	43	0.424139706
50	14	0.421102449
50	191	0.479992941
50	4	0.275624049
50	17	0.25571439
50	14	0.34574381
50	2	0.13473435
50	44	0.418065192
50	16	0.492703993
50	8	0.186236196
50	78	0.421099252
50	15	0.418065192
50	2	0.210062684
50	26	0.422619479
50	4	0.203057618
50	11	0.203057618
50	6	0.13473435
50	9	0.422619479
50	10	0.421099252
50	118	0.678082177
50	19	0.421099252
50	6	0.046096415
50	2	0.035596024
50	263	0.916278174
50	203	0.899255026
50	83	0.654671473
50	70	0.899255026
50	113	0.971193725
50	128	0.781585806
50	198	0.746954475
50	349	0.971193725
50	166	0.920565533
50	135	0.781585806
50	272	0.892936613
50	31	0.479992941
50	233	0.781585806
50	248	0.9077666
50	45	0.765988495
50	37	0.727920455
50	25	0.459715892
50	52	0.638717705
50	136	0.647547038
50	12	0.479992941
50	96	0.781585806
50	98	0.920565533
50	64	1.055495113
50	12	0.495899332
50	322	0.797183117
50	724	0.935674056
50	2	0.206974447
50	133	0.663654746
50	14	0.781585806
50	198	0.672638019
50	34	0.479992941
50	25	0.492703993
50	244	0.781585806
50	7	0.727920455
50	48	0.669098904
50	8	0.203057618
50	2	0.105045076
50	73	0.651104858
50	6	0.039087356
50	56	0.495899332
50	81	0.683526335
50	5	0.206974447
50	2	0.415066033
50	12	0.206974447
50	4	0.190153025
50	14	0.304454333
